review_id,user_id,sell_id,review_content,review_score,review_reg_time
1,user040,14689,리뷰 내용,4.0,2023-06-30 16:43:10
2,user040,6194,리뷰 내용,4.0,2023-06-30 16:43:20
3,user186,10620,리뷰 내용,4.5,2023-06-30 16:43:30
4,user186,10296,리뷰 내용,4.5,2023-06-30 16:43:40
5,user186,10398,리뷰 내용,4.5,2023-06-30 16:43:50
6,user186,13138,리뷰 내용,3.5,2023-06-30 16:44:00
7,user186,14132,리뷰 내용,4.5,2023-06-30 16:44:10
8,user036,6890,리뷰 내용,1.0,2023-06-30 16:44:20
9,user204,12989,리뷰 내용,4.0,2023-06-30 16:44:30
10,user250,3348,리뷰 내용,5.0,2023-06-30 16:44:40
11,user250,3228,리뷰 내용,1.0,2023-06-30 16:44:50
12,user158,14851,리뷰 내용,3.0,2023-06-30 16:45:00
13,user158,12643,리뷰 내용,1.0,2023-06-30 16:45:10
14,user158,7682,리뷰 내용,3.0,2023-06-30 16:45:20
15,user139,3586,리뷰 내용,4.5,2023-06-30 16:45:30
16,user139,11957,리뷰 내용,0.5,2023-06-30 16:45:40
17,user139,3492,리뷰 내용,5.0,2023-06-30 16:45:50
18,user139,3565,리뷰 내용,4.0,2023-06-30 16:46:00
19,user102,1333,리뷰 내용,3.5,2023-06-30 16:46:10
20,user102,878,리뷰 내용,5.0,2023-06-30 16:46:20
21,user246,13573,리뷰 내용,1.0,2023-06-30 16:46:30
22,user246,11945,리뷰 내용,4.5,2023-06-30 16:46:40
23,user243,260,리뷰 내용,4.0,2023-06-30 16:46:50
24,user243,324,리뷰 내용,3.0,2023-06-30 16:47:00
25,user243,263,리뷰 내용,0.0,2023-06-30 16:47:10
26,user156,5072,리뷰 내용,3.5,2023-06-30 16:47:20
27,user070,14439,리뷰 내용,1.0,2023-06-30 16:47:30
28,user070,3107,리뷰 내용,0.5,2023-06-30 16:47:40
29,user070,3336,리뷰 내용,2.0,2023-06-30 16:47:50
30,user070,3103,리뷰 내용,5.0,2023-06-30 16:48:00
31,user049,8408,리뷰 내용,0.0,2023-06-30 16:48:10
32,user049,8360,리뷰 내용,4.0,2023-06-30 16:48:20
33,user049,14855,리뷰 내용,2.5,2023-06-30 16:48:30
34,user049,8244,리뷰 내용,3.5,2023-06-30 16:48:40
35,user207,9945,리뷰 내용,3.0,2023-06-30 16:48:50
36,user233,3316,리뷰 내용,4.5,2023-06-30 16:49:00
37,user095,8965,리뷰 내용,2.5,2023-06-30 16:49:10
38,user095,13985,리뷰 내용,2.5,2023-06-30 16:49:20
39,user036,8779,리뷰 내용,2.5,2023-06-30 16:49:30
40,user158,13785,리뷰 내용,3.5,2023-06-30 16:49:40
41,user158,6459,리뷰 내용,2.5,2023-06-30 16:49:50
42,user158,6229,리뷰 내용,4.0,2023-06-30 16:50:00
43,user279,125,리뷰 내용,4.0,2023-06-30 16:50:10
44,user316,2186,리뷰 내용,5.0,2023-06-30 16:50:20
45,user073,866,리뷰 내용,4.5,2023-06-30 16:50:30
46,user073,1417,리뷰 내용,4.0,2023-06-30 16:50:40
47,user072,170,리뷰 내용,2.5,2023-06-30 16:50:50
48,user327,12675,리뷰 내용,4.5,2023-06-30 16:51:00
49,user327,12662,리뷰 내용,3.5,2023-06-30 16:51:10
50,user327,8209,리뷰 내용,4.0,2023-06-30 16:51:20
51,user327,8061,리뷰 내용,4.0,2023-06-30 16:51:30
52,user327,7665,리뷰 내용,2.5,2023-06-30 16:51:40
53,user071,14692,리뷰 내용,4.5,2023-06-30 16:51:50
54,user071,14690,리뷰 내용,1.0,2023-06-30 16:52:00
55,user071,6352,리뷰 내용,2.0,2023-06-30 16:52:10
56,user071,14697,리뷰 내용,5.0,2023-06-30 16:52:20
57,user071,6187,리뷰 내용,4.0,2023-06-30 16:52:30
58,user288,5426,리뷰 내용,4.0,2023-06-30 16:52:40
59,user288,12223,리뷰 내용,3.0,2023-06-30 16:52:50
60,user288,5153,리뷰 내용,0.0,2023-06-30 16:53:00
61,user288,13723,리뷰 내용,4.5,2023-06-30 16:53:10
62,user143,14772,리뷰 내용,5.0,2023-06-30 16:53:20
63,user143,7087,리뷰 내용,5.0,2023-06-30 16:53:30
64,user143,6922,리뷰 내용,3.5,2023-06-30 16:53:40
65,user143,7071,리뷰 내용,5.0,2023-06-30 16:53:50
66,user031,8847,리뷰 내용,3.0,2023-06-30 16:54:00
67,user031,12834,리뷰 내용,4.5,2023-06-30 16:54:10
68,user138,1200,리뷰 내용,1.0,2023-06-30 16:54:20
69,user155,2969,리뷰 내용,5.0,2023-06-30 16:54:30
70,user155,13520,리뷰 내용,4.5,2023-06-30 16:54:40
71,user155,11815,리뷰 내용,5.0,2023-06-30 16:54:50
72,user155,13528,리뷰 내용,2.5,2023-06-30 16:55:00
73,user264,6361,리뷰 내용,3.5,2023-06-30 16:55:10
74,user264,6458,리뷰 내용,3.0,2023-06-30 16:55:20
75,user264,6291,리뷰 내용,0.5,2023-06-30 16:55:30
76,user264,6315,리뷰 내용,3.0,2023-06-30 16:55:40
77,user215,7913,리뷰 내용,4.5,2023-06-30 16:55:50
78,user215,7971,리뷰 내용,1.0,2023-06-30 16:56:00
79,user215,8030,리뷰 내용,5.0,2023-06-30 16:56:10
80,user215,8185,리뷰 내용,4.0,2023-06-30 16:56:20
81,user295,8877,리뷰 내용,3.5,2023-06-30 16:56:30
82,user295,8915,리뷰 내용,3.0,2023-06-30 16:56:40
83,user083,6069,리뷰 내용,3.5,2023-06-30 16:56:50
84,user083,14672,리뷰 내용,3.5,2023-06-30 16:57:00
85,user083,6035,리뷰 내용,5.0,2023-06-30 16:57:10
86,user083,13751,리뷰 내용,4.0,2023-06-30 16:57:20
87,user083,5885,리뷰 내용,2.5,2023-06-30 16:57:30
88,user061,2135,리뷰 내용,4.5,2023-06-30 16:57:40
89,user061,2093,리뷰 내용,2.0,2023-06-30 16:57:50
90,user061,11714,리뷰 내용,4.0,2023-06-30 16:58:00
91,user195,8645,리뷰 내용,3.0,2023-06-30 16:58:10
92,user132,1767,리뷰 내용,4.5,2023-06-30 16:58:20
93,user235,4593,리뷰 내용,3.5,2023-06-30 16:58:30
94,user235,4700,리뷰 내용,4.5,2023-06-30 16:58:40
95,user164,7903,리뷰 내용,0.0,2023-06-30 16:58:50
96,user201,10102,리뷰 내용,3.5,2023-06-30 16:59:00
97,user201,9930,리뷰 내용,4.0,2023-06-30 16:59:10
98,user201,9837,리뷰 내용,3.0,2023-06-30 16:59:20
99,user201,9912,리뷰 내용,3.5,2023-06-30 16:59:30
100,user201,10062,리뷰 내용,1.0,2023-06-30 16:59:40
101,user059,5013,리뷰 내용,4.5,2023-06-30 16:59:50
102,user059,4910,리뷰 내용,4.0,2023-06-30 17:00:00
103,user028,14971,리뷰 내용,4.0,2023-06-30 17:00:10
104,user028,10085,리뷰 내용,3.0,2023-06-30 17:00:20
105,user028,14974,리뷰 내용,3.5,2023-06-30 17:00:30
106,user131,8902,리뷰 내용,3.5,2023-06-30 17:00:40
107,user131,12843,리뷰 내용,3.0,2023-06-30 17:00:50
108,user131,8824,리뷰 내용,3.0,2023-06-30 17:01:00
109,user131,8883,리뷰 내용,3.0,2023-06-30 17:01:10
110,user147,3754,리뷰 내용,3.0,2023-06-30 17:01:20
111,user160,4130,리뷰 내용,1.0,2023-06-30 17:01:30
112,user160,13615,리뷰 내용,4.5,2023-06-30 17:01:40
113,user160,3915,리뷰 내용,3.5,2023-06-30 17:01:50
114,user160,4002,리뷰 내용,4.0,2023-06-30 17:02:00
115,user327,7674,리뷰 내용,4.0,2023-06-30 17:02:10
116,user327,7614,리뷰 내용,3.5,2023-06-30 17:02:20
117,user216,12181,리뷰 내용,5.0,2023-06-30 17:02:30
118,user216,5004,리뷰 내용,4.0,2023-06-30 17:02:40
119,user216,4933,리뷰 내용,5.0,2023-06-30 17:02:50
120,user216,4943,리뷰 내용,5.0,2023-06-30 17:03:00
121,user314,2794,리뷰 내용,1.0,2023-06-30 17:03:10
122,user314,3036,리뷰 내용,4.0,2023-06-30 17:03:20
123,user314,2525,리뷰 내용,3.0,2023-06-30 17:03:30
124,user314,3030,리뷰 내용,4.0,2023-06-30 17:03:40
125,user204,9764,리뷰 내용,5.0,2023-06-30 17:03:50
126,user204,9772,리뷰 내용,4.5,2023-06-30 17:04:00
127,user204,9752,리뷰 내용,4.5,2023-06-30 17:04:10
128,user204,9798,리뷰 내용,0.0,2023-06-30 17:04:20
129,user086,2321,리뷰 내용,5.0,2023-06-30 17:04:30
130,user107,193,리뷰 내용,0.0,2023-06-30 17:04:40
131,user107,166,리뷰 내용,2.0,2023-06-30 17:04:50
132,user189,6719,리뷰 내용,4.0,2023-06-30 17:05:00
133,user189,12466,리뷰 내용,3.0,2023-06-30 17:05:10
134,user189,12477,리뷰 내용,3.5,2023-06-30 17:05:20
135,user189,6760,리뷰 내용,3.0,2023-06-30 17:05:30
136,user246,2329,리뷰 내용,5.0,2023-06-30 17:05:40
137,user246,2282,리뷰 내용,0.5,2023-06-30 17:05:50
138,user246,2449,리뷰 내용,4.5,2023-06-30 17:06:00
139,user246,2458,리뷰 내용,2.0,2023-06-30 17:06:10
140,user246,2336,리뷰 내용,0.5,2023-06-30 17:06:20
141,user203,344,리뷰 내용,4.0,2023-06-30 17:06:30
142,user203,11421,리뷰 내용,3.0,2023-06-30 17:06:40
143,user073,11329,리뷰 내용,4.0,2023-06-30 17:06:50
144,user113,11347,리뷰 내용,3.5,2023-06-30 17:07:00
145,user113,11292,리뷰 내용,4.0,2023-06-30 17:07:10
146,user113,11066,리뷰 내용,4.0,2023-06-30 17:07:20
147,user113,11155,리뷰 내용,5.0,2023-06-30 17:07:30
148,user194,1987,리뷰 내용,3.0,2023-06-30 17:07:40
149,user194,1924,리뷰 내용,5.0,2023-06-30 17:07:50
150,user267,11100,리뷰 내용,4.5,2023-06-30 17:08:00
151,user267,11261,리뷰 내용,4.0,2023-06-30 17:08:10
152,user267,11319,리뷰 내용,3.0,2023-06-30 17:08:20
153,user267,11094,리뷰 내용,4.0,2023-06-30 17:08:30
154,user265,10997,리뷰 내용,3.0,2023-06-30 17:08:40
155,user265,10931,리뷰 내용,4.5,2023-06-30 17:08:50
156,user265,13248,리뷰 내용,5.0,2023-06-30 17:09:00
157,user265,11120,리뷰 내용,4.0,2023-06-30 17:09:10
