user_id,wine_id,count
user001,54,1
user142,54,1
user164,54,1
user239,54,1
user250,54,1
user300,54,1
user001,87,1
user028,87,1
user040,87,1
user064,87,1
user138,87,1
user154,87,1
user177,87,1
user211,87,1
user273,87,1
user298,87,1
user309,87,1
user001,95,1
user010,95,1
user018,95,1
user069,95,1
user111,95,1
user165,95,1
user224,95,1
user225,95,1
user273,95,1
user278,95,1
user281,95,1
user294,95,1
user001,101,1
user223,101,1
user001,137,1
user096,137,1
user138,137,1
user151,137,1
user264,137,1
user001,146,1
user019,146,1
user090,146,1
user191,146,1
user297,146,1
user001,149,1
user038,149,1
user046,149,1
user077,149,1
user142,149,1
user214,149,1
user242,149,1
user275,149,1
user296,149,1
user001,163,1
user088,163,1
user155,163,1
user165,163,2
user226,163,1
user242,163,1
user280,163,1
user001,211,1
user081,211,1
user086,211,1
user102,211,1
user113,211,1
user191,211,1
user215,211,1
user247,211,1
user260,211,1
user001,281,1
user241,281,1
user001,316,1
user010,316,1
user075,316,1
user176,316,1
user177,316,1
user246,316,1
user270,316,1
user329,316,1
user001,417,1
user018,417,1
user021,417,1
user106,417,1
user201,417,1
user239,417,1
user265,417,1
user327,417,1
user001,444,1
user143,444,1
user218,444,1
user291,444,1
user304,444,1
user306,444,1
user001,486,1
user114,486,1
user126,486,1
user169,486,1
user213,486,1
user238,486,1
user294,486,1
user001,526,1
user012,526,1
user017,526,1
user047,526,1
user060,526,1
user072,526,1
user079,526,1
user080,526,1
user094,526,1
user001,565,1
user080,565,1
user187,565,1
user202,565,1
user253,565,1
user257,565,1
user273,565,1
user296,565,1
user328,565,1
user001,581,1
user077,581,1
user126,581,1
user190,581,1
user001,631,1
user053,631,1
user060,631,1
user108,631,1
user230,631,1
user253,631,1
user001,692,1
user073,692,1
user155,692,1
user171,692,1
user192,692,1
user198,692,1
user200,692,1
user300,692,1
user326,692,1
user001,756,1
user116,756,1
user001,784,1
user025,784,1
user102,784,1
user198,784,1
user235,784,1
user296,784,1
user001,829,1
user048,829,1
user062,829,1
user073,829,1
user087,829,1
user140,829,1
user191,829,1
user244,829,1
user266,829,1
user001,843,1
user018,843,1
user032,843,1
user087,843,1
user189,843,1
user224,843,1
user226,843,1
user236,843,1
user288,843,1
user325,843,1
user001,976,1
user043,976,1
user119,976,1
user129,976,1
user166,976,1
user167,976,1
user170,976,1
user201,976,1
user001,986,1
user144,986,1
user145,986,1
user152,986,1
user261,986,1
user273,986,1
user317,986,1
user001,1003,1
user010,1003,1
user045,1003,1
user079,1003,1
user130,1003,1
user211,1003,1
user234,1003,1
user277,1003,1
user301,1003,1
user311,1003,1
user316,1003,1
user320,1003,1
user001,1016,1
user053,1016,1
user072,1016,1
user127,1016,1
user207,1016,1
user001,1062,1
user082,1062,1
user150,1062,1
user171,1062,1
user242,1062,1
user244,1062,1
user245,1062,1
user247,1062,1
user257,1062,1
user270,1062,1
user271,1062,1
user278,1062,1
user309,1062,1
user001,1110,1
user013,1110,1
user036,1110,1
user044,1110,1
user045,1110,1
user070,1110,1
user089,1110,1
user204,1110,1
user266,1110,1
user316,1110,1
user001,1122,1
user073,1122,1
user115,1122,1
user127,1122,1
user151,1122,1
user247,1122,1
user251,1122,1
user296,1122,1
user001,1127,1
user038,1127,1
user045,1127,1
user086,1127,1
user091,1127,1
user097,1127,1
user203,1127,1
user205,1127,1
user211,1127,1
user293,1127,1
user329,1127,1
user001,1161,1
user077,1161,1
user137,1161,1
user146,1161,1
user257,1161,1
user281,1161,1
user288,1161,1
user316,1161,1
user001,1284,1
user032,1284,1
user097,1284,1
user192,1284,1
user233,1284,1
user260,1284,1
user274,1284,1
user302,1284,1
user319,1284,1
user001,1304,1
user028,1304,1
user032,1304,1
user070,1304,1
user127,1304,1
user139,1304,1
user154,1304,1
user174,1304,1
user001,1309,1
user037,1309,1
user103,1309,1
user138,1309,1
user184,1309,1
user268,1309,1
user271,1309,1
user290,1309,1
user311,1309,1
user315,1309,1
user323,1309,1
user001,1310,1
user082,1310,1
user083,1310,1
user122,1310,1
user220,1310,1
user228,1310,1
user235,1310,1
user270,1310,1
user275,1310,1
user328,1310,1
user001,1331,1
user040,1331,1
user064,1331,1
user089,1331,1
user103,1331,1
user117,1331,1
user172,1331,1
user196,1331,1
user235,1331,1
user316,1331,1
user317,1331,1
user001,1351,1
user019,1351,1
user037,1351,1
user121,1351,1
user147,1351,1
user148,1351,1
user176,1351,1
user229,1351,1
user241,1351,1
user272,1351,1
user278,1351,1
user312,1351,1
